collection_title,collection_handle,product_id,title,vendor,product_type,skus,tags
Games Workshop,games-workshop,gid://shopify/Product/15724502090112,ARMAGEDDON BATTALION: DEATHWATCH,Games Workshop,"Warhammer 40,000",99120109017,000|40K - Generic|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502155648,ARMAGEDDON: RETURN OF YARRICK (ENG),Games Workshop,"Warhammer 40,000",60040199190,000|40K - Generic|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502253952,ORKS: WAZDAKKA GUTSMEK,Games Workshop,"Warhammer 40,000",99120103128,000|40K - Xenos - Orks|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502319488,ORKS: GHAZGHKULL DICE,Games Workshop,"Warhammer 40,000",99220103008,000|40K - Xenos - Orks|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502450560,ARMAGEDDON BATTALION: ORKS,Games Workshop,"Warhammer 40,000",99120103126,000|40K - Xenos - Orks|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502548864,ARMAGEDDON BATTALION: ASTRA MILITARUM,Games Workshop,"Warhammer 40,000",99120105150,000|40K - Imperium - Astra Militarum|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502614400,ASTRA MILITARUM: COMMISSAR YARRICK,Games Workshop,"Warhammer 40,000",99120105138,000|40K - Imperium - Astra Militarum|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502679936,ASTRA MILITARUM: COMMISSAR GRAVES,Games Workshop,"Warhammer 40,000",99120105140,000|40K - Imperium - Astra Militarum|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502745472,ASTRA MILITARUM: COMMISSAR YARRICK DICE,Games Workshop,"Warhammer 40,000",99220105038,000|40K - Imperium - Astra Militarum|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502843776,IMPERIAL AGENTS: INQUISITOR KROYLE,Games Workshop,"Warhammer 40,000",99120108124,000|40K - Imperium - Imperial Agents|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502909312,ARMAGEDDON BATTALION: ADEPTA SORORITAS,Games Workshop,"Warhammer 40,000",99120108120,000|40K - Imperium - Adepta Sororitas|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724502974848,A/S: INTRANZIA FRAYE DOGMATA SUPERIOR,Games Workshop,"Warhammer 40,000",99120108122,000|40K - Imperium - Adepta Sororitas|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503040384,LEGENDS OF THE WAAAGH! (PB),Games Workshop,"Warhammer 40,000",60100181543,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503105920,VETERANS OF THE FALL (PB),Games Workshop,"Warhammer 40,000",60100181545,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503236992,WORLD ABLAZE (HB),Games Workshop,"Warhammer 40,000",60040181444,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503269760,DA FREEBOOTERZ CODE (HB),Games Workshop,"Warhammer 40,000",60040181446,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503335296,DEATH WORLD (ANNIVERSARY EDITION),Games Workshop,"Warhammer 40,000",60040181447,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503368064,YARRICK: THE OMNIBUS (PB),Games Workshop,"Warhammer 40,000",60100181550,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724503400832,SPEARHEAD: CITY OF ASH (ENGLISH),Games Workshop,Generic,60010299051,AOS - Generic|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724504121728,OSSIARCH BONEREAPERS:NULL MYRIAD PHALANX,Games Workshop,Generic,99120207261,AOS - Death - Ossiarch Bonereapers|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724504154496,ZARDU LAYEK THE CRIMSON APOSTLE (HB),Games Workshop,"Warhammer 40,000",60040181442,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724504187264,LEGIO CUSTODES: CALADIUS GRAV-TANK,Games Workshop,Generic,99123043007,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504318336,L/C: CALADIUS GRAV-TANK ANNIHILATOR,Games Workshop,Generic,99123043009,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504416640,LEGIO CUSTODES: CUSTODIAN GUARD SODALITY,Games Workshop,Generic,99123043005,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504482176,LEGIO CUSTODES: VENATARI SODALITY,Games Workshop,Generic,99123043003,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504547712,LEGIO CUSTODES: SHIELD CAPTAIN,Games Workshop,Generic,99123043004,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504646016,LEGIO CUSTODES: SENTINEL GUARD SODALITY,Games Workshop,Generic,99123043002,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504777088,LEGIO CUSTODES: CUSTODIAN DREADNOUGHT,Games Workshop,Generic,99123043006,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504842624,LEGIO CUSTODES: CORONUS GRAV-CARRIER,Games Workshop,Generic,99123043008,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724504940928,L: TUSKGOR FUR 12ML ROW X6,Games Workshop,Generic,9918995134406,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Paint - WH Colour - Layer
Games Workshop,games-workshop,gid://shopify/Product/15724505006464,L: GAUSS BLASTER GREEN 12ML ROW X6,Games Workshop,Generic,9918995137406,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Paint - WH Colour - Layer
Games Workshop,games-workshop,gid://shopify/Product/15724505104768,EYE OF TERROR: REIGN OF IRON (ENGLISH),Games Workshop,"Warhammer 40,000",60040199189,000|40K - Generic|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505170304,WARHAMMER 40000: IRON WARRIORS DICE,Games Workshop,"Warhammer 40,000",99220102023,000|40K - Chaos - Chaos Space Marines|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505235840,CHAOS SPACE MARINES: DEFILER,Games Workshop,"Warhammer 40,000",99120102229,000|40K - Chaos - Chaos Space Marines|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505334144,CHAOS SPACE MARINES: KRAVEK MORNE,Games Workshop,"Warhammer 40,000",99120102251,000|40K - Chaos - Chaos Space Marines|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505399680,CHAOS SPACE MARINES: MUTILATORS,Games Workshop,"Warhammer 40,000",99120102230,000|40K - Chaos - Chaos Space Marines|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505465216,COMBAT PATROL: IRON WARRIORS,Games Workshop,"Warhammer 40,000",99120102228,000|40K - Chaos - Chaos Space Marines|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505596288,EYE OF TERROR BATTALION:IMPERIAL KNIGHTS,Games Workshop,"Warhammer 40,000",99120108148,000|40K - Imperium - Imperial Knights|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505694592,IMPERIAL KNIGHTS: KNIGHT DESTRIER,Games Workshop,"Warhammer 40,000",99120108123,000|40K - Imperium - Imperial Knights|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505760128,EYE/TERROR BATTALION:ADEPTUS MECHANICUS,Games Workshop,"Warhammer 40,000",99120116049,000|40K - Imperium - Adeptus Mechanicus|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505858432,ADEPTUS MECHANICUS: THULIA GHULD,Games Workshop,"Warhammer 40,000",99120116050,000|40K - Imperium - Adeptus Mechanicus|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724505989504,ADEPTUS MECHANICUS: HASTARII,Games Workshop,"Warhammer 40,000",99120116051,000|40K - Imperium - Adeptus Mechanicus|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724506055040,EYE OF TERROR BATTALION: SONS OF DORN,Games Workshop,"Warhammer 40,000",99120101287,000|40K - Space Marines - Black Templars|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724506120576,AESTRED THURGA: PYRE OF FAITH (HB),Games Workshop,"Warhammer 40,000",60040181436,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724506251648,CARNAGE UNENDING (PB),Games Workshop,"Warhammer 40,000",60100181541,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724506349952,PARAGON OF FAITH AND OTHER STORIES (PB),Games Workshop,"Warhammer 40,000",60100181542,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724506415488,AOS S/E + PAINT SET ENG/SPA/PORT/LATV/RM,Games Workshop,Generic,52170218004,AOS - Order - Stormcast Eternals|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724506513792,L: TECLIS BLUE 12ML ROW X6,Games Workshop,Generic,9918995131506,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Paint - WH Colour - Layer
Games Workshop,games-workshop,gid://shopify/Product/15724506579328,WHITE DWARF 523 (APR-26) (ENGLISH),Games Workshop,Generic,60249999665,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::white-dwarf|Games Workshop|Generic|White Dwarf - Standard
Games Workshop,games-workshop,gid://shopify/Product/15724506743168,QUEEN OF THE ROSE THRONE (PB),Games Workshop,Generic,60100281333,AOS - Generic|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724506874240,SPEARHEAD: SPITEWING FLIGHT,Games Workshop,Generic,99120204049,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724506972544,BATTLETOME: SYLVANETH (ENG),Games Workshop,Generic,60030204010,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507103616,WARSCROLL CARDS: SYLVANETH (ENG),Games Workshop,Generic,60050204003,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507234688,AGE OF SIGMAR: SYLVANETH DICE,Games Workshop,Generic,99220204005,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507332992,SYLVANETH: STRONGROOT GROVE,Games Workshop,Generic,99120204056,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507464064,SYLVANETH: THE TWISTED BRANCH,Games Workshop,Generic,99120204050,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507562368,SYLVANETH: GROVE GUARDIAN,Games Workshop,Generic,99120204051,AOS - Order - Sylvaneth|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507627904,SPEARHEAD: KHAINITE SHADOW COVEN,Games Workshop,Generic,99120212043,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507857280,BATTLETOME: DAUGHTERS OF KHAINE (ENG),Games Workshop,Generic,60030212010,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724507955584,WARSCROLL CARDS: DAUGHTERS OF KHAINE ENG,Games Workshop,Generic,60050212003,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508053888,AGE OF SIGMAR: DAUGHTERS OF KHAINE DICE,Games Workshop,Generic,99220212005,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508184960,DAUGHTERS OF KHAINE: THE CRIMSON LASH,Games Workshop,Generic,99120212044,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508283264,DAUGHTERS/KHAINE: SHRINE OF DARK TRIBUTE,Games Workshop,Generic,99120212050,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508381568,DAUGHTERS OF KHAINE: BLOOD HAGS,Games Workshop,Generic,99120212045,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508479872,DAUGHTERS OF KHAINE: SCATHBORN COVEN,Games Workshop,Generic,99120212051,AOS - Order - Daughters Of Khaine|AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::games-workshop|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508643712,SHADE OF KHAINE (PB),Games Workshop,Generic,60100281331,AUTO_COLLECTION::age-of-sigmar|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|Black Library - Age Of Sigmar|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508774784,JOURNAL TACTICA: MAILED FIST,Games Workshop,Generic,60043099018,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|The Horus Heresy - Generic
Games Workshop,games-workshop,gid://shopify/Product/15724508905856,HORUS HERESY: LIBER CUSTODES (ENGLISH),Games Workshop,Generic,60043043002,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Imperium - Legio Custodes
Games Workshop,games-workshop,gid://shopify/Product/15724509004160,WARHAMMER COLOUR: DRY BRUSH MEDIUM (X3),Games Workshop,Generic,9919999910403,AUTO_COLLECTION::games-workshop|Brush - Dry|Games Workshop|Generic
Games Workshop,games-workshop,gid://shopify/Product/15724509102464,WARHAMMER COLOUR: TOOL SET,Games Workshop,Generic,99239999141,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Hobby - Build - Tool
Games Workshop,games-workshop,gid://shopify/Product/15724509200768,WH COLOUR: MORDIAN CORPSEGRASS TUFTS,Games Workshop,Generic,99229999192,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Hobby - Build - Basing Material
Games Workshop,games-workshop,gid://shopify/Product/15724509299072,WARHAMMER DICE (6-PACK),Games Workshop,Generic,9922999919406,AUTO_COLLECTION::citadel-colour|AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Hobby - Play - Gaming Accessory
Games Workshop,games-workshop,gid://shopify/Product/15724509430144,L/A: GLAIVE SUPER-HEAVY SPEC. WPNS TANK,Games Workshop,Generic,99123001076,AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::the-horus-heresy|Games Workshop|Generic|HH Astartes - Generic
Games Workshop,games-workshop,gid://shopify/Product/15724509528448,WARHAMMER PAINTING HANDLE (MK3) (6-PACK),Games Workshop,Generic,9923999912706,AUTO_COLLECTION::games-workshop|Games Workshop|Generic|Paint Other - Painting Accessory
Games Workshop,games-workshop,gid://shopify/Product/15724509593984,GHAZGHKULL THRAKA:WARLORD OF WARLORDS HB,Games Workshop,"Warhammer 40,000",60040181438,000|40K - Generic|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724509692288,THE INFINITE AND THE DIVINE (ILLUS.),Games Workshop,"Warhammer 40,000",60040181430,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724509757824,CHEM DOG (HB),Games Workshop,"Warhammer 40,000",60040181432,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724509856128,THE GREEN TIDE OMNIBUS (PAPERBACK),Games Workshop,"Warhammer 40,000",60100181540,000|AUTO_COLLECTION::black-library|AUTO_COLLECTION::games-workshop|AUTO_COLLECTION::warhammer-40k|Black Library - Warhammer 40K|Games Workshop|Warhammer 40
Games Workshop,games-workshop,gid://shopify/Product/15724509921664,BLOOD BOWL: SPIKE! ISSUE 21,Games Workshop,Generic,60040999035,AUTO_COLLECTION::blood-bowl|AUTO_COLLECTION::games-workshop|Blood Bowl - Generic|Games Workshop|Generic
