collection_title,collection_handle,collection_id,current_image_url,picked_product_id,picked_product_title,picked_image_url,status
Games Workshop,games-workshop,gid://shopify/Collection/696944951680,,gid://shopify/Product/15724533744000,40K PAINTS + TOOLS ENG/SPA/PORT/LATV/ROM,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/52170199001-WH40KPaintAndToolSet07.jpg?v=1777475098,dry_run_would_update
Adeptus Titanicus,adeptus-titanicus,gid://shopify/Collection/696944984448,,gid://shopify/Product/15724637847936,ADEPTUS TITANICUS STARTER SET (ENGLISH),https://cdn.shopify.com/s/files/1/0939/0109/5296/files/TR-60010399003-ATBoxedGame.jpg?v=1777479518,dry_run_would_update
Age of Sigmar,age-of-sigmar,gid://shopify/Collection/696945017216,,gid://shopify/Product/15724638404992,AGE OF SIGMAR HERO BASES,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/99120299039_cover_047d.jpg?v=1769169468,dry_run_would_update
Black Library,black-library,gid://shopify/Collection/696945049984,,gid://shopify/Product/15724617695616,ABOVE AND BEYOND (HB),https://cdn.shopify.com/s/files/1/0939/0109/5296/files/60040181344-BLAboveAndBeyondENG.jpg?v=1777478465,dry_run_would_update
Blood Bowl,blood-bowl,gid://shopify/Collection/696945082752,,gid://shopify/Product/15724655247744,BLOOD BOWL: BRETONNIAN TEAM,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/99120903001-BloodBowlSeason3BretonnianBrionneBaronsTeamBOX.jpg?v=1777480453,dry_run_would_update
Citadel Colour,citadel-colour,gid://shopify/Collection/696945115520,,gid://shopify/Product/15724509102464,WARHAMMER COLOUR: TOOL SET,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/99239999141-WarhammerColourToolSet4.jpg?v=1777474384,dry_run_would_update
Kill Team,kill-team,gid://shopify/Collection/696945148288,,gid://shopify/Product/15724649415040,KILL TEAM DATACARDS: CHAOS CULT (ENG),https://cdn.shopify.com/s/files/1/0939/0109/5296/files/60050102024-KTChaosCultDatacards3.jpg?v=1777480163,dry_run_would_update
Legions Imperialis,legions-imperialis,gid://shopify/Collection/696945181056,,gid://shopify/Product/15724623888768,JOURNAL STRATEGIA: RUIN O/T SALAMANDERS,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/60042699003-LegionsImperialisJournalStrategiaRuinoftheSalamanders01.jpg?v=1777478776,dry_run_would_update
Middle-earth Strategy Battle Game,middle-earth-strategy-battle-game,gid://shopify/Collection/696945213824,,gid://shopify/Product/15724630901120,M-E SBG JOURNAL: THE TREACHERY OF GOLLUM,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/60041499056-MiddleEarthTreacheryOfGollumBook01.jpg?v=1777479155,dry_run_would_update
Necromunda,necromunda,gid://shopify/Collection/696945246592,,gid://shopify/Product/15724631785856,ARANTHIAN SUCCESSION - VAULTS OF TEMENOS,https://cdn.shopify.com/s/files/1/0939/0109/5296/files/TR-301-17-60040599039-Necromunda-Aranthian-Succession-Vaults-of-Temenos.jpg?v=1777479201,dry_run_would_update
