product_id,variant_id,inventory_item_id,sku,title,before_origin,after_origin,status,notes
gid://shopify/Product/15724502090112,gid://shopify/ProductVariant/57985862107520,gid://shopify/InventoryItem/56144902717824,99120109017,ARMAGEDDON BATTALION: DEATHWATCH,,GB,verified_uk,
gid://shopify/Product/15724502155648,gid://shopify/ProductVariant/57985862173056,gid://shopify/InventoryItem/56144902783360,60040199190,ARMAGEDDON: RETURN OF YARRICK (ENG),,GB,verified_uk,
gid://shopify/Product/15724502253952,gid://shopify/ProductVariant/57985862271360,gid://shopify/InventoryItem/56144902881664,99120103128,ORKS: WAZDAKKA GUTSMEK,,GB,verified_uk,
gid://shopify/Product/15724502319488,gid://shopify/ProductVariant/57985862336896,gid://shopify/InventoryItem/56144902947200,99220103008,ORKS: GHAZGHKULL DICE,,GB,verified_uk,
gid://shopify/Product/15724502450560,gid://shopify/ProductVariant/57985863418240,gid://shopify/InventoryItem/56144903831936,99120103126,ARMAGEDDON BATTALION: ORKS,,GB,verified_uk,
gid://shopify/Product/15724502548864,gid://shopify/ProductVariant/57985863483776,gid://shopify/InventoryItem/56144904094080,99120105150,ARMAGEDDON BATTALION: ASTRA MILITARUM,,GB,verified_uk,
gid://shopify/Product/15724502614400,gid://shopify/ProductVariant/57985865646464,gid://shopify/InventoryItem/56144906256768,99120105138,ASTRA MILITARUM: COMMISSAR YARRICK,,GB,verified_uk,
gid://shopify/Product/15724502679936,gid://shopify/ProductVariant/57985866498432,gid://shopify/InventoryItem/56144907108736,99120105140,ASTRA MILITARUM: COMMISSAR GRAVES,,GB,verified_uk,
gid://shopify/Product/15724502745472,gid://shopify/ProductVariant/57985866563968,gid://shopify/InventoryItem/56144907174272,99220105038,ASTRA MILITARUM: COMMISSAR YARRICK DICE,,GB,verified_uk,
gid://shopify/Product/15724502843776,gid://shopify/ProductVariant/57985866662272,gid://shopify/InventoryItem/56144907272576,99120108124,IMPERIAL AGENTS: INQUISITOR KROYLE,,GB,verified_uk,
gid://shopify/Product/15724502909312,gid://shopify/ProductVariant/57985866727808,gid://shopify/InventoryItem/56144907338112,99120108120,ARMAGEDDON BATTALION: ADEPTA SORORITAS,,GB,verified_uk,
gid://shopify/Product/15724502974848,gid://shopify/ProductVariant/57985866793344,gid://shopify/InventoryItem/56144907403648,99120108122,A/S: INTRANZIA FRAYE DOGMATA SUPERIOR,,GB,verified_uk,
gid://shopify/Product/15724503040384,gid://shopify/ProductVariant/57985866858880,gid://shopify/InventoryItem/56144907469184,60100181543,LEGENDS OF THE WAAAGH! (PB),,GB,verified_uk,
gid://shopify/Product/15724503105920,gid://shopify/ProductVariant/57985866924416,gid://shopify/InventoryItem/56144907534720,60100181545,VETERANS OF THE FALL (PB),,GB,verified_uk,
gid://shopify/Product/15724503236992,gid://shopify/ProductVariant/57985867219328,gid://shopify/InventoryItem/56144907829632,60040181444,WORLD ABLAZE (HB),,GB,verified_uk,
gid://shopify/Product/15724503269760,gid://shopify/ProductVariant/57985867284864,gid://shopify/InventoryItem/56144907895168,60040181446,DA FREEBOOTERZ CODE (HB),,GB,verified_uk,
gid://shopify/Product/15724503335296,gid://shopify/ProductVariant/57985867350400,gid://shopify/InventoryItem/56144907960704,60040181447,DEATH WORLD (ANNIVERSARY EDITION),,GB,verified_uk,
gid://shopify/Product/15724503368064,gid://shopify/ProductVariant/57985867383168,gid://shopify/InventoryItem/56144907993472,60100181550,YARRICK: THE OMNIBUS (PB),,GB,verified_uk,
gid://shopify/Product/15724503400832,gid://shopify/ProductVariant/57985867415936,gid://shopify/InventoryItem/56144908026240,60010299051,SPEARHEAD: CITY OF ASH (ENGLISH),,GB,verified_uk,
gid://shopify/Product/15724504121728,gid://shopify/ProductVariant/57985868595584,gid://shopify/InventoryItem/56144909205888,99120207261,OSSIARCH BONEREAPERS:NULL MYRIAD PHALANX,,GB,verified_uk,
gid://shopify/Product/15724504154496,gid://shopify/ProductVariant/57985868628352,gid://shopify/InventoryItem/56144909238656,60040181442,ZARDU LAYEK THE CRIMSON APOSTLE (HB),,GB,verified_uk,
gid://shopify/Product/15724504187264,gid://shopify/ProductVariant/57985868661120,gid://shopify/InventoryItem/56144909271424,99123043007,LEGIO CUSTODES: CALADIUS GRAV-TANK,,GB,verified_uk,
gid://shopify/Product/15724504318336,gid://shopify/ProductVariant/57985868792192,gid://shopify/InventoryItem/56144909402496,99123043009,L/C: CALADIUS GRAV-TANK ANNIHILATOR,,GB,verified_uk,
gid://shopify/Product/15724504416640,gid://shopify/ProductVariant/57985868890496,gid://shopify/InventoryItem/56144909500800,99123043005,LEGIO CUSTODES: CUSTODIAN GUARD SODALITY,,GB,verified_uk,
gid://shopify/Product/15724504482176,gid://shopify/ProductVariant/57985868956032,gid://shopify/InventoryItem/56144909566336,99123043003,LEGIO CUSTODES: VENATARI SODALITY,,GB,verified_uk,
gid://shopify/Product/15724504547712,gid://shopify/ProductVariant/57985869021568,gid://shopify/InventoryItem/56144909631872,99123043004,LEGIO CUSTODES: SHIELD CAPTAIN,,GB,verified_uk,
gid://shopify/Product/15724504646016,gid://shopify/ProductVariant/57985869185408,gid://shopify/InventoryItem/56144909861248,99123043002,LEGIO CUSTODES: SENTINEL GUARD SODALITY,,GB,verified_uk,
gid://shopify/Product/15724504777088,gid://shopify/ProductVariant/57985869316480,gid://shopify/InventoryItem/56144909992320,99123043006,LEGIO CUSTODES: CUSTODIAN DREADNOUGHT,,GB,verified_uk,
gid://shopify/Product/15724504842624,gid://shopify/ProductVariant/57985869382016,gid://shopify/InventoryItem/56144910090624,99123043008,LEGIO CUSTODES: CORONUS GRAV-CARRIER,,GB,verified_uk,
gid://shopify/Product/15724504940928,gid://shopify/ProductVariant/57985869971840,gid://shopify/InventoryItem/56144910647680,9918995134406,L: TUSKGOR FUR 12ML ROW X6,,GB,verified_uk,
gid://shopify/Product/15724505006464,gid://shopify/ProductVariant/57985870037376,gid://shopify/InventoryItem/56144910713216,9918995137406,L: GAUSS BLASTER GREEN 12ML ROW X6,,GB,verified_uk,
gid://shopify/Product/15724505104768,gid://shopify/ProductVariant/57985870201216,gid://shopify/InventoryItem/56144911008128,60040199189,EYE OF TERROR: REIGN OF IRON (ENGLISH),,GB,verified_uk,
gid://shopify/Product/15724505170304,gid://shopify/ProductVariant/57985870266752,gid://shopify/InventoryItem/56144911073664,99220102023,WARHAMMER 40000: IRON WARRIORS DICE,,GB,verified_uk,
gid://shopify/Product/15724505235840,gid://shopify/ProductVariant/57985870332288,gid://shopify/InventoryItem/56144911139200,99120102229,CHAOS SPACE MARINES: DEFILER,,GB,verified_uk,
gid://shopify/Product/15724505334144,gid://shopify/ProductVariant/57985870430592,gid://shopify/InventoryItem/56144911237504,99120102251,CHAOS SPACE MARINES: KRAVEK MORNE,,GB,verified_uk,
gid://shopify/Product/15724505399680,gid://shopify/ProductVariant/57985870496128,gid://shopify/InventoryItem/56144911303040,99120102230,CHAOS SPACE MARINES: MUTILATORS,,GB,verified_uk,
gid://shopify/Product/15724505465216,gid://shopify/ProductVariant/57985870561664,gid://shopify/InventoryItem/56144911368576,99120102228,COMBAT PATROL: IRON WARRIORS,,GB,verified_uk,
gid://shopify/Product/15724505596288,gid://shopify/ProductVariant/57985870758272,gid://shopify/InventoryItem/56144911565184,99120108148,EYE OF TERROR BATTALION:IMPERIAL KNIGHTS,,GB,verified_uk,
gid://shopify/Product/15724505694592,gid://shopify/ProductVariant/57985870856576,gid://shopify/InventoryItem/56144911663488,99120108123,IMPERIAL KNIGHTS: KNIGHT DESTRIER,,GB,verified_uk,
gid://shopify/Product/15724505760128,gid://shopify/ProductVariant/57985870922112,gid://shopify/InventoryItem/56144911729024,99120116049,EYE/TERROR BATTALION:ADEPTUS MECHANICUS,,GB,verified_uk,
gid://shopify/Product/15724505858432,gid://shopify/ProductVariant/57985871020416,gid://shopify/InventoryItem/56144911827328,99120116050,ADEPTUS MECHANICUS: THULIA GHULD,,GB,verified_uk,
gid://shopify/Product/15724505989504,gid://shopify/ProductVariant/57985872462208,gid://shopify/InventoryItem/56144913269120,99120116051,ADEPTUS MECHANICUS: HASTARII,,GB,verified_uk,
gid://shopify/Product/15724506055040,gid://shopify/ProductVariant/57985872527744,gid://shopify/InventoryItem/56144913334656,99120101287,EYE OF TERROR BATTALION: SONS OF DORN,,GB,verified_uk,
gid://shopify/Product/15724506120576,gid://shopify/ProductVariant/57985872593280,gid://shopify/InventoryItem/56144913400192,60040181436,AESTRED THURGA: PYRE OF FAITH (HB),,GB,verified_uk,
gid://shopify/Product/15724506251648,gid://shopify/ProductVariant/57985872724352,gid://shopify/InventoryItem/56144913498496,60100181541,CARNAGE UNENDING (PB),,GB,verified_uk,
gid://shopify/Product/15724506349952,gid://shopify/ProductVariant/57985874133376,gid://shopify/InventoryItem/56144914940288,60100181542,PARAGON OF FAITH AND OTHER STORIES (PB),,GB,verified_uk,
