product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724604948864,SPACE MARINES: TERMINATOR ASSAULT SQUAD,99120101454,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724605243776,SPACE MARINES: ASSAULT INTERCESSORS,99120101283,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724605473152,SPACE MARINES GLADIATOR,99120101282,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724605636992,SPACE MARINES PRIMARIS TECHMARINE,99120101278,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724605899136,SPACE MARINES OUTRIDERS,99120101285,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724606161280,SPACE MARINES STORMHAWK INTERCEPTOR,99120101315,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724606325120,SPACE MARINES PRIMARIS ERADICATORS,99120101286,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724606521728,SPACE MARINES BLADEGUARD VETERANS,99120101284,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724606718336,SPACE MARINES STORM SPEEDER,99120101274,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724606849408,S/M CAPTAIN W/ MASTER-CRAFTED BOLT RIFLE,99070101048,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607046016,S/MARINES: STERNGUARD VETERAN SQUAD,99120101390,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607144320,SPACE MARINES PRIMARIS INVADER ATV,99120101271,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607340928,SPACE MARINES FIRESTRIKE SERVO-TURRET,99120101272,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607439232,S/MARINES PRIMARIS REPULSOR EXECUTIONER,99120101322,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607635840,SPACE MARINES PRIMARIS APOTHECARY,99070101060,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607799680,SPACE MARINES PRIMARIS CAPTAIN,99070101061,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724607963520,SPACE MARINES PRIMARIS CHAPLAIN,99070101062,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608061824,SPACE MARINES PRIMARIS LIBRARIAN,99070101063,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608225664,PRIMARIS LIEUTENANT IN REIVER ARMOUR,99070101054,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608389504,PRIMARIS LIBRARIAN IN PHOBOS ARMOUR,99070101055,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608553344,SPACE MARINES CAPTAIN IN PHOBOS ARMOUR,99070101056,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608749952,SPACE MARINES PRIMARIS AGGRESSORS,99120101306,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724608946560,SPACE MARINES CAPTAIN IN GRAVIS ARMOUR,99070101077,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724609143168,SPACE MARINES PRIMARIS REIVERS,99120101307,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724609274240,SPACE MARINES: LIEUTENANT,99070101079,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724609438080,SPACE MARINES: DESOLATION SQUAD,99120101377,Online Store,gid://shopify/Publication/308211384704,false,published
