sku,title,status,query,top_score,winner_page_url,winner_image_url,winner_reasons,staged_dir,reason
9781910931899,The Green Roasting Tin - Rukmini Iyer,review,9781910931899 The Green Roasting Tin - Rukmini Iyer Penguin 9781910931899,100,,,,,"winner_tie, low_margin"
978-1398524262,The Dog Park Detectives - Blake Mara,review,978-1398524262 The Dog Park Detectives - Blake Mara Simon & Schuster 9781398524262,100,,,,,"winner_tie, low_margin"
978-1398538597,Burnt Island - Kate Rhodes,missing,978-1398538597 Burnt Island - Kate Rhodes Simon & Schuster 9781398538597,0,,,,,no candidate reached 70
978-198219657,The Lessons of History,missing,978-198219657 The Lessons of History Simon & Schuster 978198219657,0,,,,,no candidate reached 70
978-1406361803,A Monster Calls - Patrick Ness,review,978-1406361803 A Monster Calls - Patrick Ness Walker Books 9781406361803,100,,,,,"winner_tie, low_margin"
DNL0036,TOWNSFOLK MINIATURE PACK,missing,DNL0036 TOWNSFOLK MINIATURE PACK Archon Studio 5901414672973 B0BDPN9LPD,0,,,,,no candidate reached 70
DNL0043,NPC MINIATURE PACK,missing,DNL0043 NPC MINIATURE PACK Archon Studio 5901414673130 B0CKX8DB3V,0,,,,,no candidate reached 70
DNL0092,HALLS OF ANCESTORS: PRE-PAINTED,missing,DNL0092 HALLS OF ANCESTORS: PRE-PAINTED Archon Studio 5901414677831 B0DK7T2NND,0,,,,,no candidate reached 70
DNL0097,GIANT KRAKEN,missing,DNL0097 GIANT KRAKEN Archon Studio 5901414677886 B0DK7YWKXF,0,,,,,no candidate reached 70
DNL0099,FANTASY DUNGEON: PRE-PAINTED,missing,DNL0099 FANTASY DUNGEON: PRE-PAINTED Archon Studio 5901414679071 B0DWW5BK2M,50,,,,,no candidate reached 70
DNL0113,DEEP MINES: PRE-PAINTED,missing,DNL0113 DEEP MINES: PRE-PAINTED Archon Studio 5901414679682 B0F63XL3C2,50,,,,,no candidate reached 70
MOTU0003,MotU Battleground Starter Set (EN),missing,MOTU0003 MotU Battleground Starter Set (EN) Archon Studio B0B1DMNRY3,60,,,,,no candidate reached 70
GTSUBY1033,Submarine (Yellow Handle),missing,GTSUBY1033 Submarine (Yellow Handle) Bigjigs 816409010331 B008LQXRBE,65,,,,,no candidate reached 70
231 6072650,Dreamworks Dragons - Red Chompin Death Rampage,review,231 6072650 Dreamworks Dragons - Red Chompin Death Rampage Dreamworks 681147061323 B0DDXQ4PKK,75,,,,,"below_winner_threshold, low_margin, generic_page"
681147061323,Dreamworks Dragons - Red Chompin Death Rampage,review,681147061323 Dreamworks Dragons - Red Chompin Death Rampage Dreamworks 681147061323 B0DDXQ4PKK,75,,,,,"below_winner_threshold, low_margin, generic_page"
279 T73118,Articulate for Kids Mini Game,missing,279 T73118 Articulate for Kids Mini Game Drumond Park 5011666731189 B082VRZQQJ,0,,,,,no candidate reached 70
900 HYR98,Fisher Price Laugh & Learn & Serve Coffee,missing,900 HYR98 Fisher Price Laugh & Learn & Serve Coffee Fisher Price 194735254767 B0CSYYL1K9,0,,,,,no candidate reached 70
681147088856,Gabby's Dollhouse Movie - 2-Pack Garden,review,681147088856 Gabby's Dollhouse Movie - 2-Pack Garden Gabby 681147088856 B0DTJD94KC,75,,,,,"below_winner_threshold, low_margin, generic_page"
681147092822,Gabby's Dollhouse Movie - 2-Pack Cat Francisco,missing,681147092822 Gabby's Dollhouse Movie - 2-Pack Cat Francisco Gabby 681147092822 B0DTJFR4TK,0,,,,,no candidate reached 70
