sku,title,status,match_type,asset_label,image_count,reason,source_mode,source_paths
99120109017,ARMAGEDDON BATTALION: DEATHWATCH,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040199190,ARMAGEDDON: RETURN OF YARRICK (ENG),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120103128,ORKS: WAZDAKKA GUTSMEK,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99220103008,ORKS: GHAZGHKULL DICE,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120103126,ARMAGEDDON BATTALION: ORKS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120105150,ARMAGEDDON BATTALION: ASTRA MILITARUM,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120105138,ASTRA MILITARUM: COMMISSAR YARRICK,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120105140,ASTRA MILITARUM: COMMISSAR GRAVES,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99220105038,ASTRA MILITARUM: COMMISSAR YARRICK DICE,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120108124,IMPERIAL AGENTS: INQUISITOR KROYLE,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120108120,ARMAGEDDON BATTALION: ADEPTA SORORITAS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120108122,A/S: INTRANZIA FRAYE DOGMATA SUPERIOR,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60100181543,LEGENDS OF THE WAAAGH! (PB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60100181545,VETERANS OF THE FALL (PB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040181444,WORLD ABLAZE (HB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040181446,DA FREEBOOTERZ CODE (HB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040181447,DEATH WORLD (ANNIVERSARY EDITION),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60100181550,YARRICK: THE OMNIBUS (PB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60010299051,SPEARHEAD: CITY OF ASH (ENGLISH),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120207261,OSSIARCH BONEREAPERS:NULL MYRIAD PHALANX,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040181442,ZARDU LAYEK THE CRIMSON APOSTLE (HB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043007,LEGIO CUSTODES: CALADIUS GRAV-TANK,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043009,L/C: CALADIUS GRAV-TANK ANNIHILATOR,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043005,LEGIO CUSTODES: CUSTODIAN GUARD SODALITY,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043003,LEGIO CUSTODES: VENATARI SODALITY,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043004,LEGIO CUSTODES: SHIELD CAPTAIN,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043002,LEGIO CUSTODES: SENTINEL GUARD SODALITY,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043006,LEGIO CUSTODES: CUSTODIAN DREADNOUGHT,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99123043008,LEGIO CUSTODES: CORONUS GRAV-CARRIER,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
9918995134406,L: TUSKGOR FUR 12ML ROW X6,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
9918995137406,L: GAUSS BLASTER GREEN 12ML ROW X6,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040199189,EYE OF TERROR: REIGN OF IRON (ENGLISH),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99220102023,WARHAMMER 40000: IRON WARRIORS DICE,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120102229,CHAOS SPACE MARINES: DEFILER,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120102251,CHAOS SPACE MARINES: KRAVEK MORNE,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120102230,CHAOS SPACE MARINES: MUTILATORS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120102228,COMBAT PATROL: IRON WARRIORS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120108148,EYE OF TERROR BATTALION:IMPERIAL KNIGHTS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120108123,IMPERIAL KNIGHTS: KNIGHT DESTRIER,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120116049,EYE/TERROR BATTALION:ADEPTUS MECHANICUS,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120116050,ADEPTUS MECHANICUS: THULIA GHULD,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120116051,ADEPTUS MECHANICUS: HASTARII,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
99120101287,EYE OF TERROR BATTALION: SONS OF DORN,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60040181436,AESTRED THURGA: PYRE OF FAITH (HB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60100181541,CARNAGE UNENDING (PB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
60100181542,PARAGON OF FAITH AND OTHER STORIES (PB),skip,missing,,0,no matching Shopify image files,shopify-existing-files,
52170218004,AOS S/E + PAINT SET ENG/SPA/PORT/LATV/RM,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
9918995131506,L: TECLIS BLUE 12ML ROW X6,skip,missing,,0,no matching Shopify image files,shopify-existing-files,
