source,title,sku,barcode,vendor,product_type,tags,price,compare_at_price,cost,weight_grams,quantity
GW,ARMAGEDDON BATTALION: DEATHWATCH,99120109017,5011921149063,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Generic",82.95,105.00,59.85,730,0
GW,ARMAGEDDON: RETURN OF YARRICK (ENG),60040199190,9781804577516,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Generic",36.34,46.00,29.90,1125,0
GW,ORKS: WAZDAKKA GUTSMEK,99120103128,5011921252343,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Xenos - Orks",41.08,52.00,29.64,166,0
GW,ORKS: GHAZGHKULL DICE,99220103008,5011921257959,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Xenos - Orks",15.41,19.50,11.12,100,0
GW,ARMAGEDDON BATTALION: ORKS,99120103126,5011921251384,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Xenos - Orks",82.95,105.00,59.85,740,0
GW,ARMAGEDDON BATTALION: ASTRA MILITARUM,99120105150,5011921261611,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Astra Militarum",126.40,160.00,91.20,1170,0
GW,ASTRA MILITARUM: COMMISSAR YARRICK,99120105138,5011921252305,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Astra Militarum",23.31,29.50,16.82,48,0
GW,ASTRA MILITARUM: COMMISSAR GRAVES,99120105140,5011921252763,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Astra Militarum",48.98,62.00,35.34,370,0
GW,ASTRA MILITARUM: COMMISSAR YARRICK DICE,99220105038,5011921257966,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Astra Militarum",15.41,19.50,11.12,100,0
GW,IMPERIAL AGENTS: INQUISITOR KROYLE,99120108124,5011921252749,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Imperial Agents",29.63,37.50,21.38,82,0
GW,ARMAGEDDON BATTALION: ADEPTA SORORITAS,99120108120,5011921251414,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Adepta Sororitas",82.95,105.00,59.85,574,0
GW,A/S: INTRANZIA FRAYE DOGMATA SUPERIOR,99120108122,5011921251797,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, 40K - Imperium - Adepta Sororitas",35.16,44.50,25.37,125,0
GW,LEGENDS OF THE WAAAGH! (PB),60100181543,9781836093046,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",11.85,15.00,9.75,460,0
GW,VETERANS OF THE FALL (PB),60100181545,9781836093053,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",7.89,9.99,6.49,312,0
GW,WORLD ABLAZE (HB),60040181444,9781836093060,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",15.80,20.00,13.00,680,0
GW,DA FREEBOOTERZ CODE (HB),60040181446,9781836093084,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",15.80,20.00,13.00,700,0
GW,DEATH WORLD (ANNIVERSARY EDITION),60040181447,9781836093077,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",17.38,22.00,14.30,520,0
GW,YARRICK: THE OMNIBUS (PB),60100181550,9781836093602,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",11.85,15.00,9.75,474,0
GW,SPEARHEAD: CITY OF ASH (ENGLISH),60010299051,5011921260553,Games Workshop,Generic,"Games Workshop, Generic, AOS - Generic",105.86,134.00,76.38,2372,0
GW,OSSIARCH BONEREAPERS:NULL MYRIAD PHALANX,99120207261,5011921270224,Games Workshop,Generic,"Games Workshop, Generic, AOS - Death - Ossiarch Bonereapers",122.45,155.00,88.35,883,0
GW,ZARDU LAYEK THE CRIMSON APOSTLE (HB),60040181442,9781836093015,Games Workshop,"Warhammer 40,000","Games Workshop, Warhammer 40,000, Black Library - Warhammer 40K",11.85,15.00,9.75,379,3
GW,LEGIO CUSTODES: CALADIUS GRAV-TANK,99123043007,5011921252268,Games Workshop,Generic,"Games Workshop, Generic, HH Imperium - Legio Custodes",48.59,61.50,35.06,460,2
